player_id,inducted,g,ab,r,h,x2b,x3b,hr,rbi,sb,cs,bb,so,last_year
gabrile02,0,708,1764,178,446,64,12,37,176,20,12,145,315,1970
gaettga01,0,2507,8951,1130,2280,443,39,360,1341,96,65,634,1602,2000
gagliph01,0,702,1411,150,336,50,7,14,159,5,4,163,184,1974
gagnegr01,0,1798,5673,712,1440,296,50,111,604,108,96,367,1121,1997
gainede01,0,548,1608,218,438,75,36,14,185,54,6,149,156,1922
galanau01,0,1742,5937,1004,1706,336,74,100,830,123,0,979,393,1949
galehde01,0,375,665,33,92,6,1,0,26,0,0,40,201,1949
gallemi01,0,1111,2931,374,700,111,12,42,282,24,31,326,465,1997
galloch01,0,1076,3583,391,946,136,46,17,407,79,71,274,225,1928
galvipu01,1,731,2748,278,552,87,31,5,220,23,0,38,631,1892
gamblos01,0,1584,4502,656,1195,188,31,200,666,47,37,610,546,1985
gandich01,0,1147,4245,449,1176,173,78,11,557,153,32,273,233,1919
gantnji01,0,1801,6189,726,1696,262,38,47,568,137,78,383,501,1992
ganzech01,0,786,2984,421,774,91,45,10,412,60,0,161,121,1897
ganzejo01,0,747,2715,281,682,104,50,18,336,48,0,136,0,1908
garbabo01,0,145,327,31,81,9,0,0,28,0,1,26,17,1945
garbege01,0,933,115,7,17,0,0,0,4,0,0,12,41,1988
garceri01,0,287,3,0,0,0,0,0,0,0,0,0,1,2002
garcica01,0,610,2178,274,580,102,17,33,197,73,33,115,340,1999
garcida01,0,1032,3914,490,1108,183,27,36,323,203,90,130,322,1989
garciki01,0,619,1470,162,351,56,16,12,112,34,22,95,285,1985
garcimi01,0,428,696,41,127,23,1,2,62,0,2,31,151,1961
gardnbi02,0,1034,3544,356,841,159,18,41,271,19,22,246,439,1963
gardngi01,0,199,765,113,178,33,18,4,30,7,0,69,16,1888
gardnla01,0,1923,6688,866,1931,301,129,27,934,165,68,654,282,1924
gardnma01,0,350,506,22,62,3,2,1,22,0,0,16,206,2001
garmami01,0,303,42,1,5,0,0,0,1,0,0,0,17,1978
garmsde01,0,1010,3111,438,910,141,39,17,328,18,8,288,161,1945
garneph01,0,1860,6136,780,1594,299,82,109,738,225,105,564,842,1988
garread01,0,163,276,30,51,8,0,11,37,4,0,31,87,1976
garresc01,0,370,232,18,29,4,2,1,10,3,1,6,105,1991
garrewa01,0,1092,3285,438,786,107,22,61,340,38,30,561,529,1978
garrra01,0,1317,5108,717,1562,212,64,75,408,172,83,246,445,1980
garvene01,0,458,827,87,180,27,3,7,72,1,1,76,109,1961
garvest01,0,2332,8835,1143,2599,440,43,272,1308,83,62,479,1003,1987
gastoal01,0,215,514,58,112,13,6,3,40,5,0,29,56,1929
gastoci01,0,1026,3120,314,799,106,30,91,387,13,7,185,693,1978
gastomi01,0,355,724,55,145,31,2,6,75,2,0,21,135,1934
gedmari01,0,1033,3159,331,795,176,12,88,382,3,4,236,509,1992
geerbi01,0,232,893,128,191,36,11,0,33,2,2,55,22,1885
gehrich01,1,2323,8860,1774,2839,574,146,184,1427,181,89,1186,372,1942
gehrilo01,1,2164,8001,1888,2721,534,163,493,1995,102,101,1508,790,1939
geigega01,0,954,2569,388,633,91,29,77,283,62,29,341,466,1970
gelbech01,0,876,2869,398,766,169,43,17,350,34,0,290,245,1940
geninfr01,0,149,514,75,116,18,0,2,44,32,0,43,37,1901
gentiji01,0,936,2922,434,759,113,6,179,549,3,1,475,663,1966
georggr01,0,118,299,15,53,9,2,0,24,0,0,28,59,1945
gerbewa01,0,1522,5099,558,1309,172,46,7,476,43,47,465,357,1929
gerhajo01,0,1071,4139,493,939,122,55,7,380,37,5,162,194,1891
gernedi01,0,835,2493,357,632,104,8,103,402,10,11,363,462,1962
geronce01,0,1522,3780,460,977,161,50,51,392,82,40,354,746,1983
getteal01,0,189,241,23,55,7,1,0,14,0,0,4,25,1955
getzgu01,0,339,1114,85,265,22,9,2,93,41,15,24,46,1918
gharrpa01,0,676,1961,237,513,92,26,20,251,32,13,188,231,1930
gibbojo01,0,424,263,9,38,3,1,0,8,0,0,10,99,1972
gibbsja01,0,538,1639,157,382,53,8,25,146,28,22,120,231,1971
gibsobo01,1,596,1328,132,274,44,5,24,144,13,10,63,415,1975
gibsofr01,0,471,1155,121,317,57,19,8,146,12,7,55,127,1927
gibsoge01,0,1213,3776,295,893,142,49,15,345,40,2,286,132,1918
gibsoki01,0,1635,5798,985,1553,260,54,255,870,284,78,718,1285,1995
gilesbr01,0,287,709,74,162,27,0,10,50,27,13,70,151,1990
gilkebe01,0,1239,4061,606,1115,244,24,118,546,115,71,466,708,2001
gilliba01,0,521,1865,215,386,68,23,3,167,8,0,147,235,1888
gilliji01,0,1956,7119,1163,1889,304,71,65,558,203,111,1036,416,1966
gilljo01,0,118,322,39,79,17,1,10,45,1,2,23,43,1936
ginsbjo01,0,695,1716,168,414,59,8,20,182,7,5,226,135,1962
giustda01,0,686,412,29,77,10,2,4,46,0,0,23,99,1977
gladdda01,0,1197,4501,663,1215,203,40,74,446,222,93,337,625,1993
gladdfr01,0,450,63,1,1,0,0,0,3,0,0,0,40,1973
glassja01,0,1736,7030,1163,2040,313,98,27,825,372,0,439,212,1895
glavito02,1,709,1323,93,246,25,2,1,90,1,0,101,329,2008
gleasja01,0,343,1425,253,384,59,14,9,31,8,0,95,2,1886
gleaski01,0,1966,7452,1020,1944,216,80,15,823,328,0,500,131,1912
gleatje01,0,307,2,0,0,0,0,0,0,0,0,1,1,1992
glynned01,0,175,10,0,0,0,0,0,0,0,0,0,3,1985
goldsfr01,0,218,855,128,193,33,10,3,75,0,0,26,125,1884
goltzda01,0,356,94,1,10,0,0,0,7,0,0,10,49,1983
gomezle01,1,368,904,59,133,11,0,0,58,1,1,50,252,1943
gomezru01,0,381,477,58,95,11,1,3,22,2,2,14,61,1967
gonzami01,0,1042,2829,283,717,123,19,13,263,52,10,231,198,1932
gonzare01,0,705,1539,185,368,59,4,19,136,23,16,161,230,1997
gonzato01,0,1559,5195,690,1485,238,57,103,615,79,61,467,706,1971
goochjo01,0,805,2363,227,662,98,29,7,293,11,5,206,141,1933
goodedw01,0,434,741,60,145,15,5,8,67,1,1,14,135,2000
goodmbi01,0,1623,5644,807,1691,299,44,19,591,37,30,669,329,1962
goodmiv01,0,1107,3928,609,1104,188,85,95,525,49,0,382,380,1944
goodwi01,0,749,2364,324,609,84,44,9,187,104,17,190,243,1918
goodwma01,0,103,129,13,24,0,1,0,3,0,0,11,22,1925
gordojo01,1,1566,5707,914,1530,264,52,253,975,89,60,759,702,1950
gordosi01,0,1475,4992,735,1415,220,43,202,805,19,5,731,356,1955
gorege01,0,1310,5357,1327,1612,262,94,46,618,170,0,717,332,1892
gosgeji01,0,705,1815,197,411,67,16,30,177,25,18,217,316,1974
gosligo01,1,2287,8656,1483,2735,500,173,248,1609,175,89,949,585,1938
gossari01,1,1003,85,1,9,1,0,0,2,0,0,4,37,1994
gotayju01,0,389,988,106,257,38,3,6,70,12,7,61,127,1969
gottji01,0,554,73,8,13,2,0,4,5,0,1,1,41,1995
gowdyha01,0,1050,2735,270,738,124,27,21,322,59,7,311,247,1930
gracejo01,0,484,1561,225,442,76,18,20,172,9,17,179,135,1947
gradymi01,0,918,3000,486,881,155,67,34,449,114,0,311,40,1906
grahape01,0,373,999,99,265,34,6,1,85,21,0,114,33,1912
grahejo01,0,187,19,2,6,1,0,0,2,0,0,1,6,1999
grammal01,0,913,2073,236,512,90,10,12,163,17,14,206,192,1963
graneja01,0,1402,4705,706,1178,219,79,18,420,148,36,712,345,1922
granted01,0,990,3385,399,844,79,30,5,277,153,6,233,181,1915
grantge01,0,1444,4989,912,1508,292,93,105,712,132,53,717,526,1934
grantma01,0,234,104,10,7,0,0,0,2,0,0,10,46,1993
grantmu01,0,667,759,80,135,25,2,6,65,2,1,37,214,1971
grassmi01,0,322,957,78,216,23,1,5,87,2,1,81,108,1955
graydo02,0,379,648,49,124,20,3,2,49,1,0,41,146,1933
grayji01,0,6,23,3,7,1,0,1,5,0,0,0,4,1893
grayte01,0,228,370,22,59,4,1,0,16,0,0,26,123,1955
grebecr01,0,752,1988,239,518,116,8,19,187,4,11,228,274,2001
greendi01,0,1288,4007,427,960,145,23,80,422,26,20,345,785,1974
greenha01,1,1394,5193,1051,1628,379,71,331,1276,58,26,852,844,1947
greenle01,0,1136,2956,461,788,138,27,47,253,78,41,368,260,1968
greenmi01,0,1269,4623,657,1400,275,38,130,726,80,43,460,364,1996
greggha01,0,203,263,26,54,7,0,2,15,0,0,8,64,1952
greggto01,0,446,880,86,214,41,2,20,88,14,12,71,158,1997
greggve01,0,239,457,22,78,15,2,0,28,2,1,11,58,1925
gremmed01,0,383,1420,140,356,58,24,7,164,22,0,89,13,1904
grichbo01,0,2008,6890,1033,1833,320,47,224,864,104,83,1087,1278,1986
grievto01,0,670,1907,209,474,76,10,65,254,7,7,135,424,1979
griffal01,0,1962,6780,759,1688,245,78,24,527,192,134,338,664,1993
griffcl01,1,485,1380,202,321,49,17,8,166,22,1,166,46,1914
griffke01,0,2097,7229,1129,2143,364,77,152,859,200,83,719,898,1991
griffke02,1,2671,9801,1662,2781,524,38,630,1836,184,69,1312,1779,2010
griffmi01,0,1511,5914,1405,1753,313,108,42,719,473,0,809,206,1898
griffmi02,0,67,15,0,3,0,0,0,0,0,0,0,9,1989
griffsa01,0,166,630,116,173,35,7,5,78,25,0,77,24,1893
griffto01,0,1401,4947,589,1383,208,72,52,619,70,42,351,262,1925
griffto02,0,408,405,31,66,16,0,10,32,0,0,13,158,1982
griggar01,0,442,1370,127,379,73,20,5,152,36,0,105,23,1918
grimebu01,1,632,1535,157,380,62,11,2,168,15,4,69,241,1934
grimjo01,0,706,2638,350,705,119,37,16,330,82,0,85,77,1899
grimmch01,0,2166,7917,908,2299,394,108,79,1078,57,44,578,410,1936
grimsro02,0,346,353,21,45,4,0,0,15,0,0,6,116,1982
grissma01,0,356,189,9,23,7,0,0,6,0,0,8,67,1959
groatdi01,0,1929,7484,829,2138,352,67,39,707,14,27,490,512,1967
